,7/1/2016 population estimate,7/1/2017 population estimate,7/1/2018 population estimate,7/1/2019 population estimate
Geographic Area Name,Population,Population,Population,Population
United States,"322,941,311","324,985,539","326,687,501","328,239,523"
Alabama,"4,863,525","4,874,486","4,887,681","4,903,185"
Alaska,"741,456","739,700","735,139","731,545"
Arizona,"6,941,072","7,044,008","7,158,024","7,278,717"
Arkansas,"2,989,918","3,001,345","3,009,733","3,017,804"
California,"39,167,117","39,358,497","39,461,588","39,512,223"
Colorado,"5,539,215","5,611,885","5,691,287","5,758,736"
Connecticut,"3,578,141","3,573,297","3,571,520","3,565,287"
Delaware,"948,921","956,823","965,479","973,764"
District of Columbia,"685,815","694,906","701,547","705,749"
Florida,"20,613,477","20,963,613","21,244,317","21,477,737"
Georgia,"10,301,890","10,410,330","10,511,131","10,617,423"
Hawaii,"1,427,559","1,424,393","1,420,593","1,415,872"
Idaho,"1,682,380","1,717,715","1,750,536","1,787,065"
Illinois,"12,820,527","12,778,828","12,723,071","12,671,821"
Indiana,"6,634,304","6,658,078","6,695,497","6,732,219"
Iowa,"3,131,371","3,141,550","3,148,618","3,155,070"
Kansas,"2,910,844","2,908,718","2,911,359","2,913,314"
Kentucky,"4,438,182","4,452,268","4,461,153","4,467,673"
Louisiana,"4,678,135","4,670,560","4,659,690","4,648,794"
Maine,"1,331,317","1,334,612","1,339,057","1,344,212"
Maryland,"6,003,323","6,023,868","6,035,802","6,045,680"
Massachusetts,"6,823,608","6,859,789","6,882,635","6,892,503"
Michigan,"9,950,571","9,973,114","9,984,072","9,986,857"
Minnesota,"5,522,744","5,566,230","5,606,249","5,639,632"
Mississippi,"2,987,938","2,988,510","2,981,020","2,976,149"
Missouri,"6,087,135","6,106,670","6,121,623","6,137,428"
Montana,"1,040,859","1,052,482","1,060,665","1,068,778"
Nebraska,"1,905,616","1,915,947","1,925,614","1,934,408"
Nevada,"2,917,563","2,969,905","3,027,341","3,080,156"
New Hampshire,"1,342,307","1,348,787","1,353,465","1,359,711"
New Jersey,"8,870,827","8,885,525","8,886,025","8,882,190"
New Mexico,"2,091,630","2,091,784","2,092,741","2,096,829"
New York,"19,633,428","19,589,572","19,530,351","19,453,561"
North Carolina,"10,154,788","10,268,233","10,381,615","10,488,084"
North Dakota,"754,434","754,942","758,080","762,062"
Ohio,"11,634,370","11,659,650","11,676,341","11,689,100"
Oklahoma,"3,926,331","3,931,316","3,940,235","3,956,971"
Oregon,"4,089,976","4,143,625","4,181,886","4,217,737"
Pennsylvania,"12,782,275","12,787,641","12,800,922","12,801,989"
Rhode Island,"1,056,770","1,055,673","1,058,287","1,059,361"
South Carolina,"4,957,968","5,021,268","5,084,156","5,148,714"
South Dakota,"862,996","872,868","878,698","884,659"
Tennessee,"6,646,010","6,708,799","6,771,631","6,829,174"
Texas,"27,914,410","28,295,273","28,628,666","28,995,881"
Utah,"3,041,868","3,101,042","3,153,550","3,205,958"
Vermont,"623,657","624,344","624,358","623,989"
Virginia,"8,410,106","8,463,587","8,501,286","8,535,519"
Washington,"7,294,771","7,423,362","7,523,869","7,614,893"
West Virginia,"1,831,023","1,817,004","1,804,291","1,792,147"
Wisconsin,"5,772,628","5,790,186","5,807,406","5,822,434"
Wyoming,"584,215","578,931","577,601","578,759"
Puerto Rico,"3,406,672","3,325,286","3,193,354","3,193,694"
