Brand,Model,accelsec,topSpeedMPH,RangeMiles,efficiencyWHperKM,OneHourFastChargeMiles,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceUSD
Tesla,Model 3 Long Range Dual Motor,4.6 ,144.779443,173.7061605,100.040731,584.08874,Yes,AWD,Type 2 CCS,Sedan,D,5,65915.57
Volkswagen,ID.3 Pure,10.0 ,99.41936,104.2236963,103.768957,155.34275,Yes,RWD,Type 2 CCS,Hatchback,C,5,35643
Polestar,2,4.7 ,130.48791,154.405476,112.468151,385.25002,Yes,AWD,Type 2 CCS,Liftback,D,5,67056.8
BMW,iX3,6.8 ,111.84678,138.9649284,128.002426,347.96776,Yes,RWD,Type 2 CCS,SUV,D,5,80838.76
Honda,e,9.5 ,90.098795,65.6223273,104.390328,118.06049,Yes,RWD,Type 2 CCS,Hatchback,B,4,39204.03
Lucid,Air,2.8 ,155.34275,235.4683509,111.84678,385.25002,Yes,AWD,Type 2 CCS,Sedan,F,5,124750.5
Volkswagen,e-Golf,9.6 ,93.20565,73.3426011,104.390328,136.70162,Yes,FWD,Type 2 CCS,Hatchback,C,5,37900.39
Peugeot,e-208,8.1 ,93.20565,106.15376475,101.904844,260.97582,Yes,FWD,Type 2 CCS,Hatchback,B,5,35264.77
Tesla,Model 3 Standard Range Plus,5.6 ,139.808475,119.6642439,95.069763,403.89115,Yes,RWD,Type 2 CCS,Sedan,D,5,55103.86
Audi,Q4 e-tron,6.3 ,111.84678,154.405476,119.924603,335.54034,Yes,AWD,Type 2 CCS,SUV,D,5,65345.5
Mercedes,EQC 400 4MATIC,5.1 ,111.84678,142.8250653,134.216136,273.40324,Yes,AWD,Type 2 CCS,SUV,D,5,82554.42
Nissan,Leaf,7.9 ,89.477424,84.9230118,101.904844,142.91533,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,34732.85
Hyundai,Kona Electric 64 kWh,7.9 ,103.768957,154.405476,99.41936,236.12098,Yes,FWD,Type 2 CCS,SUV,B,5,48469.03
BMW,i4,4.0 ,124.2742,173.7061605,110.604038,403.89115,Yes,RWD,Type 2 CCS,Sedan,D,5,77226.5
Hyundai,IONIQ Electric,9.7 ,102.526215,96.5034225,95.069763,130.48791,Yes,FWD,Type 2 CCS,Liftback,C,5,40940.4
Volkswagen,ID.3 Pro S,7.9 ,99.41936,169.8460236,108.739925,366.60889,Yes,RWD,Type 2 CCS,Hatchback,C,4,48635.8
Porsche,Taycan Turbo S,2.8 ,161.55646,144.75513375,138.565733,484.66938,Yes,AWD,Type 2 CCS,Sedan,F,4,214785.59
Volkswagen,e-Up!,11.9 ,80.77823,75.27266955,103.147586,105.63307,Yes,FWD,Type 2 CCS,Hatchback,A,4,25450.41
MG,ZS EV,8.2 ,86.99194,84.9230118,119.924603,161.55646,Yes,FWD,Type 2 CCS,SUV,B,5,35643
Mini,Cooper SE,7.3 ,93.20565,71.41253265,96.933876,161.55646,Yes,FWD,Type 2 CCS,Hatchback,B,4,37639.88
Opel,Corsa-e,8.1 ,93.20565,106.15376475,101.904844,260.97582,Yes,FWD,Type 2 CCS,Hatchback,B,5,34628.21
Tesla,Model Y Long Range Dual Motor,5.1 ,134.837507,164.05581825,106.254441,577.87503,Yes,AWD,Type 2 CCS,SUV,D,7,69646.64
Skoda,Enyaq iV 50,10.0 ,99.41936,111.9439701,111.225409,142.91533,Yes,RWD,Type 2 CCS,SUV,C,5,41583.5
Audi,e-tron GT,3.5 ,149.12904,164.05581825,122.410087,528.16535,Yes,AWD,Type 2 CCS,Sedan,F,4,148512.5
Tesla,Model 3 Long Range Performance,3.4 ,162.177831,167.91595515,103.768957,565.44761,Yes,AWD,Type 2 CCS,Sedan,D,5,73044.17
Volkswagen,ID.4,7.5 ,99.41936,162.1257498,113.710893,347.96776,Yes,RWD,Type 2 CCS,SUV,C,5,53464.5
Volkswagen,ID.3 Pro,9.0 ,99.41936,135.1047915,103.147586,304.47179,Yes,RWD,Type 2 CCS,Hatchback,C,5,39207.3
Volvo,XC40 P8 AWD Recharge,4.9 ,111.84678,144.75513375,124.2742,292.04437,Yes,AWD,Type 2 CCS,SUV,C,5,71804.84
BMW,i3 120 Ah,7.3 ,93.20565,90.71321715,100.040731,167.77017,Yes,RWD,Type 2 CCS,Hatchback,B,4,45168.51
Peugeot,e-2008 SUV,8.5 ,93.20565,96.5034225,111.84678,236.12098,Yes,FWD,Type 2 CCS,SUV,B,5,40823.77
